TWTR (TWITTER INC),33.06,-0.55,
Feb 18 2018 @ 14:55 ET,Bid,33.05,Ask,33.06,Size,0x0,Vol,27900974,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 14.00 (TWTR1816B14),19.68,0.0,19.00,19.50,0,4,18 Feb 14.00 (TWTR1816N14),0.01,0.0,0.0,0.02,0,63,
18 Feb 14.00 (TWTR1816B14-3),0.0,0.0,18.60,20.00,0,4,18 Feb 14.00 (TWTR1816N14-3),0.0,0.0,0.0,0.05,0,63,
18 Feb 14.00 (TWTR1816B14-4),0.0,0.0,17.00,21.50,0,4,18 Feb 14.00 (TWTR1816N14-4),0.0,0.0,0.0,2.13,0,63,
18 Feb 14.00 (TWTR1816B14-8),16.45,0.0,16.85,21.50,0,4,18 Feb 14.00 (TWTR1816N14-8),0.02,0.0,0.0,0.10,0,63,
18 Feb 14.00 (TWTR1816B14-A),0.0,0.0,17.00,21.20,0,4,18 Feb 14.00 (TWTR1816N14-A),0.02,0.0,0.0,0.02,0,63,
18 Feb 14.00 (TWTR1816B14-B),0.0,0.0,17.00,21.40,0,4,18 Feb 14.00 (TWTR1816N14-B),0.02,0.0,0.0,0.10,0,63,
18 Feb 14.00 (TWTR1816B14-E),19.68,0.0,18.60,20.00,0,4,18 Feb 14.00 (TWTR1816N14-E),0.01,0.0,0.0,0.03,0,63,
18 Feb 14.00 (TWTR1816B14-I),0.0,0.0,19.00,19.50,0,4,18 Feb 14.00 (TWTR1816N14-I),0.0,0.0,0.0,0.02,0,63,
18 Feb 14.00 (TWTR1816B14-J),0.0,0.0,18.60,20.00,0,4,18 Feb 14.00 (TWTR1816N14-J),0.0,0.0,0.0,0.10,0,63,
18 Feb 14.00 (TWTR1816B14-K),0.0,0.0,17.00,21.50,0,4,18 Feb 14.00 (TWTR1816N14-K),0.0,0.0,0.0,5.00,0,63,
18 Feb 14.00 (TWTR1816B14-O),0.0,0.0,19.00,19.50,0,4,18 Feb 14.00 (TWTR1816N14-O),0.0,0.0,0.0,0.02,0,63,
18 Feb 14.00 (TWTR1816B14-OG),0.0,0.0,16.85,21.85,0,4,18 Feb 14.00 (TWTR1816N14-OG),0.0,0.0,0.0,0.02,0,63,
18 Feb 14.00 (TWTR1816B14-P),0.0,0.0,18.90,19.60,0,4,18 Feb 14.00 (TWTR1816N14-P),0.01,0.0,0.0,0.02,0,63,
18 Feb 14.00 (TWTR1816B14-S),0.0,0.0,19.00,19.50,0,4,18 Feb 14.00 (TWTR1816N14-S),0.0,0.0,0.0,0.02,0,63,
18 Feb 14.00 (TWTR1816B14-X),0.0,0.0,18.60,20.00,0,4,18 Feb 14.00 (TWTR1816N14-X),0.0,0.0,0.0,0.03,0,63,
18 Feb 14.00 (TWTR1816B14-Y),0.0,0.0,16.50,21.50,0,4,18 Feb 14.00 (TWTR1816N14-Y),0.02,0.0,0.0,0.02,0,63,
18 Feb 15.00 (TWTR1816B15),10.06,0.0,18.00,18.10,0,8,18 Feb 15.00 (TWTR1816N15),0.01,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-3),10.10,0.0,17.75,18.10,0,8,18 Feb 15.00 (TWTR1816N15-3),0.03,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-4),0.0,0.0,17.70,18.10,0,8,18 Feb 15.00 (TWTR1816N15-4),0.0,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-8),10.06,0.0,17.55,18.35,0,8,18 Feb 15.00 (TWTR1816N15-8),0.01,0.0,0.0,0.10,0,45,
18 Feb 15.00 (TWTR1816B15-A),0.0,0.0,17.55,18.35,0,8,18 Feb 15.00 (TWTR1816N15-A),0.04,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-B),11.12,0.0,17.75,18.35,0,8,18 Feb 15.00 (TWTR1816N15-B),0.03,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-E),11.38,0.0,17.75,18.20,0,8,18 Feb 15.00 (TWTR1816N15-E),0.02,0.0,0.0,0.03,0,45,
18 Feb 15.00 (TWTR1816B15-I),7.90,0.0,18.00,18.10,0,8,18 Feb 15.00 (TWTR1816N15-I),0.0,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-J),0.0,0.0,17.75,18.20,0,8,18 Feb 15.00 (TWTR1816N15-J),0.0,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-K),0.0,0.0,15.90,20.50,0,8,18 Feb 15.00 (TWTR1816N15-K),0.0,0.0,0.0,5.00,0,45,
18 Feb 15.00 (TWTR1816B15-O),0.0,0.0,18.00,18.10,0,8,18 Feb 15.00 (TWTR1816N15-O),0.0,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-OG),0.0,0.0,17.75,18.10,0,8,18 Feb 15.00 (TWTR1816N15-OG),0.01,0.0,0.0,0.02,0,45,
18 Feb 15.00 (TWTR1816B15-P),0.0,0.0,17.90,18.20,0,8,18 Feb 15.00 (TWTR1816N15-P),0.0,0.0,0.0,0.02,0,45,
