SNAP (SNAP INC),20.42,+0.67,
Feb 18 2018 @ 16:15 ET,Bid,20.41,Ask,20.42,Size,0x0,Vol,33917697,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 5.00 (SNAP1816B5),0.0,0.0,15.05,16.95,0,0,18 Feb 5.00 (SNAP1816N5),0.02,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-3),0.0,0.0,15.05,16.95,0,0,18 Feb 5.00 (SNAP1816N5-3),0.0,0.0,0.0,0.18,0,5,
18 Feb 5.00 (SNAP1816B5-4),0.0,0.0,15.05,16.95,0,0,18 Feb 5.00 (SNAP1816N5-4),0.0,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-8),0.0,0.0,13.50,18.00,0,0,18 Feb 5.00 (SNAP1816N5-8),0.0,0.0,0.0,0.18,0,5,
18 Feb 5.00 (SNAP1816B5-A),0.0,0.0,14.00,17.15,0,0,18 Feb 5.00 (SNAP1816N5-A),0.0,0.0,0.0,0.0,0,5,
18 Feb 5.00 (SNAP1816B5-B),0.0,0.0,14.80,16.95,0,0,18 Feb 5.00 (SNAP1816N5-B),0.0,0.0,0.0,0.18,0,5,
18 Feb 5.00 (SNAP1816B5-E),0.0,0.0,14.80,16.95,0,0,18 Feb 5.00 (SNAP1816N5-E),0.02,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-I),0.0,0.0,15.05,16.95,0,0,18 Feb 5.00 (SNAP1816N5-I),0.0,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-J),0.0,0.0,14.80,16.95,0,0,18 Feb 5.00 (SNAP1816N5-J),0.0,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-K),0.0,0.0,13.50,18.00,0,0,18 Feb 5.00 (SNAP1816N5-K),0.0,0.0,0.0,5.00,0,5,
18 Feb 5.00 (SNAP1816B5-O),0.0,0.0,14.80,16.95,0,0,18 Feb 5.00 (SNAP1816N5-O),0.0,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-OG),0.0,0.0,14.80,16.95,0,0,18 Feb 5.00 (SNAP1816N5-OG),0.0,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-P),0.0,0.0,14.80,16.95,0,0,18 Feb 5.00 (SNAP1816N5-P),0.0,0.0,0.0,0.0,0,5,
18 Feb 5.00 (SNAP1816B5-S),0.0,0.0,14.80,16.95,0,0,18 Feb 5.00 (SNAP1816N5-S),0.0,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-X),0.0,0.0,15.05,16.95,0,0,18 Feb 5.00 (SNAP1816N5-X),0.0,0.0,0.0,0.10,0,5,
18 Feb 5.00 (SNAP1816B5-Y),0.0,0.0,13.00,18.00,0,0,18 Feb 5.00 (SNAP1816N5-Y),0.0,0.0,0.0,5.00,0,5,
18 Feb 6.00 (SNAP1816B6),7.45,0.0,14.35,15.10,0,7,18 Feb 6.00 (SNAP1816N6),0.02,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-3),0.0,0.0,14.35,15.25,0,7,18 Feb 6.00 (SNAP1816N6-3),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-4),0.0,0.0,14.35,15.35,0,7,18 Feb 6.00 (SNAP1816N6-4),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-8),0.0,0.0,14.10,15.35,0,7,18 Feb 6.00 (SNAP1816N6-8),0.0,0.0,0.0,0.18,0,6,
18 Feb 6.00 (SNAP1816B6-A),0.0,0.0,14.10,15.25,0,7,18 Feb 6.00 (SNAP1816N6-A),0.0,0.0,0.0,0.18,0,6,
18 Feb 6.00 (SNAP1816B6-B),0.0,0.0,14.10,15.15,0,7,18 Feb 6.00 (SNAP1816N6-B),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-E),7.45,0.0,14.35,15.35,0,7,18 Feb 6.00 (SNAP1816N6-E),0.03,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-I),0.0,0.0,14.35,15.10,0,7,18 Feb 6.00 (SNAP1816N6-I),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-J),0.0,0.0,14.10,15.15,0,7,18 Feb 6.00 (SNAP1816N6-J),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-K),0.0,0.0,12.25,17.00,0,7,18 Feb 6.00 (SNAP1816N6-K),0.0,0.0,0.0,5.00,0,6,
18 Feb 6.00 (SNAP1816B6-O),0.0,0.0,14.10,15.10,0,7,18 Feb 6.00 (SNAP1816N6-O),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-OG),0.0,0.0,14.10,15.15,0,7,18 Feb 6.00 (SNAP1816N6-OG),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-P),0.0,0.0,14.10,15.20,0,7,18 Feb 6.00 (SNAP1816N6-P),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-S),0.0,0.0,14.35,15.25,0,7,18 Feb 6.00 (SNAP1816N6-S),0.0,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-X),0.0,0.0,14.10,15.35,0,7,18 Feb 6.00 (SNAP1816N6-X),0.02,0.0,0.0,0.10,0,6,
18 Feb 6.00 (SNAP1816B6-Y),0.0,0.0,12.00,17.00,0,7,18 Feb 6.00 (SNAP1816N6-Y),0.0,0.0,0.0,5.00,0,6,
18 Feb 7.00 (SNAP1816B7),0.0,0.0,12.70,15.50,0,0,18 Feb 7.00 (SNAP1816N7),0.02,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-3),0.0,0.0,12.70,15.50,0,0,18 Feb 7.00 (SNAP1816N7-3),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-4),0.0,0.0,12.70,15.50,0,0,18 Feb 7.00 (SNAP1816N7-4),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-8),0.0,0.0,12.45,15.75,0,0,18 Feb 7.00 (SNAP1816N7-8),0.0,0.0,0.0,0.18,0,16,
18 Feb 7.00 (SNAP1816B7-A),0.0,0.0,12.45,15.70,0,0,18 Feb 7.00 (SNAP1816N7-A),0.0,0.0,0.0,0.0,0,16,
18 Feb 7.00 (SNAP1816B7-B),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-B),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-E),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-E),0.02,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-I),0.0,0.0,12.70,15.50,0,0,18 Feb 7.00 (SNAP1816N7-I),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-J),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-J),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-K),0.0,0.0,11.60,15.85,0,0,18 Feb 7.00 (SNAP1816N7-K),0.0,0.0,0.0,5.00,0,16,
18 Feb 7.00 (SNAP1816B7-O),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-O),0.06,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-OG),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-OG),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-P),0.0,0.0,12.45,15.70,0,0,18 Feb 7.00 (SNAP1816N7-P),0.0,0.0,0.0,0.0,0,16,
