GM (GENERAL MOTORS COMPANY),41.09,-0.76,
Feb 18 2018 @ 16:17 ET,Bid,41.08,Ask,41.09,Size,0x0,Vol,14871775,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 18.00 (GM1816B18),23.40,-0.35,23.05,23.25,24,140,18 Feb 18.00 (GM1816N18),0.02,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-3),23.75,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-3),0.0,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-4),0.0,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-4),0.0,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-8),0.0,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-8),0.0,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-A),0.0,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-A),0.01,0.0,0.0,0.0,0,161,
18 Feb 18.00 (GM1816B18-B),0.0,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-B),0.02,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-E),23.60,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-E),0.02,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-I),26.10,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-I),0.02,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-J),0.0,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-J),0.0,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-K),0.0,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-K),0.0,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-O),24.00,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-O),0.08,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-OG),16.45,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-OG),0.0,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-P),23.45,+0.75,23.05,23.25,6,140,18 Feb 18.00 (GM1816N18-P),0.09,0.0,0.0,0.0,0,161,
18 Feb 18.00 (GM1816B18-S),0.0,0.0,23.05,23.25,0,140,18 Feb 18.00 (GM1816N18-S),0.02,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-X),23.40,+0.10,23.05,23.25,13,140,18 Feb 18.00 (GM1816N18-X),0.02,0.0,0.0,0.06,0,161,
18 Feb 18.00 (GM1816B18-Y),23.45,0.0,23.05,23.25,5,140,18 Feb 18.00 (GM1816N18-Y),0.0,0.0,0.0,0.06,0,161,
18 Feb 19.00 (GM1816B19),23.10,+0.50,22.05,22.25,20,21,18 Feb 19.00 (GM1816N19),0.0,0.0,0.0,0.06,0,0,
18 Feb 19.00 (GM1816B19-3),22.60,0.0,22.05,22.25,0,21,18 Feb 19.00 (GM1816N19-3),0.0,0.0,0.0,0.06,0,0,
18 Feb 19.00 (GM1816B19-4),0.0,0.0,22.05,22.25,0,21,18 Feb 19.00 (GM1816N19-4),0.0,0.0,0.0,0.06,0,0,
